zipcode,agi_total,agi_1_lt25,agi_25_lt50,agi_50_lt75,agi_75_lt100,agi_100_lt200,agi_gte200
0,9580270,3350620,2159110,1326500,848060,1312640,583340
10001,15340,3640,2540,2020,1480,2920,2740
10002,42290,20160,8460,5030,2840,3920,1880
10003,28950,4850,3710,3910,3270,6430,6780
10004,2450,300,240,290,210,490,920
10005,5920,660,680,800,690,1420,1670
10006,2470,310,280,340,290,650,600
10007,3640,470,330,310,250,610,1670
10009,32690,9180,6530,5540,3690,5350,2400
10010,17540,2560,2260,2380,2010,4130,4200
10011,30190,4840,3560,3570,3110,7070,8040
10012,12540,2240,1660,1680,1420,2820,2720
10013,15140,4180,2020,1620,1180,2150,3990
10014,18720,2650,2060,2250,2050,4720,4990
10016,32720,4980,4720,5000,4090,7280,6650
10017,12150,1750,1390,1450,1250,2780,3530
10018,6830,1470,1050,860,590,1270,1590
10019,25750,4900,3690,3480,2610,5620,5450
10021,23350,3230,2420,3040,2470,4940,7250
10022,20230,2760,2050,2410,2010,4530,6470
10023,34400,5790,3730,3640,3250,7690,10300
10024,30540,5520,3470,3530,2810,6190,9020
10025,45880,12180,7670,6150,4220,7660,8000
10026,18370,6760,4410,2620,1440,2020,1120
10027,27760,11270,6670,3680,1900,2630,1610
10028,25540,3940,2870,3540,2980,5480,6730
10029,35480,16040,9660,4800,2050,2040,890
10030,13870,6240,3810,1890,900,790,240
10031,29540,13130,8130,4300,1810,1720,450
10032,29450,13660,8030,4100,1700,1580,380
10033,27200,12250,6910,3560,1630,2110,740
10034,20010,8730,4980,2870,1420,1620,390
10035,15420,6810,4050,2090,950,1130,390
10036,18920,4380,3060,2560,2010,3970,2940
10037,10680,3780,2820,1830,1070,1010,170
10038,12560,3380,1970,1680,1150,2400,1980
10039,13420,6090,3670,1850,810,810,190
10040,21620,9580,5450,3040,1500,1620,430
10044,4360,1110,760,660,440,880,510
10065,15920,2280,1920,2140,1620,3280,4680
10069,3050,380,260,250,210,610,1340
10075,14310,2170,1540,1840,1610,3170,3980
10128,33300,5690,4200,4730,3630,6800,8250
10162,750,90,60,50,60,180,310
10280,4240,460,340,440,430,1150,1420
10282,2390,230,130,140,140,370,1380
10301,18300,6360,3970,2720,1670,2650,930
10302,8250,3250,1910,1120,730,1080,160
10303,12430,5200,3070,1790,1040,1220,110
10304,20220,8170,4630,2540,1560,2350,970
10305,19640,6710,4230,2850,2080,3120,650
10306,27370,8170,5250,3950,3060,5440,1500
10307,6620,1820,1020,880,720,1540,640
10308,13800,3690,2370,2080,1640,3240,780
10309,15270,3960,2600,2150,1700,3630,1230
10310,11600,4240,2440,1550,1020,1860,490
10312,29460,7710,5110,4230,3460,6870,2080
10314,41190,12250,8230,5980,4540,8160,2030
10451,23750,11890,6880,3020,1110,780,70
10452,36880,20910,10330,3780,1170,660,30
10453,38520,22690,10580,3500,1050,660,40
10454,15960,9170,4510,1480,430,330,40
10455,18080,9940,5250,1950,600,320,20
10456,40930,23760,11500,3890,1130,630,20
10457,33210,19410,9120,3090,950,600,40
10458,34640,19210,9550,3750,1220,870,40
10459,21610,11790,6360,2250,720,490,0
10460,25850,14270,7450,2590,900,600,40
10461,24470,8470,6270,4160,2400,2780,390
10462,40060,15620,11150,7250,3170,2670,200
